Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.300, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 2760, 1187, 0, 1.095e+005, 0.000e+000
1, 1, 2, 1, 0, NA, NA, 2760, 1187, 0, 9.903e+004, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 2760, 1187, 0, 9.341e+004, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 2760, 1187, 0, 1.788e+005, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 2760, 1187, 0, 1.762e+005, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 2760, 1187, 0, 1.465e+005, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 2760, 1187, 0, 9.999e+004, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 2760, 1187, 0, 6.305e+004, 0.000e+000
1, 1, 9, 1, 0, NA, NA, 2760, 1187, 0, 7.383e+004, 0.000e+000
1, 1, 10, 1, 0, NA, NA, 2760, 1187, 0, 5.446e+004, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 2760, 1187, 0, 5.025e+004, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 2760, 1187, 0, 2.978e+004, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 2760, 1187, 0, 2.887e+004, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 2760, 1187, 0, 3.378e+003, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 2760, 1187, 0, 5.723e+003, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 2760, 1187, 0, 6.184e+003, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 2760, 1187, 0, 1.809e+004, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 2760, 1187, 0, 3.194e+004, 5.492e+004
1, 1, 19, 1, 0, NA, NA, 2760, 1187, 0, 6.485e+007, 2.074e+006
1, 1, 20, 1, 0, NA, NA, 2760, 1187, 0, 6.065e+007, 6.734e+005
