Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.200, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 2396, 1623, 0, 1.866e+007, 2.210e+002
1, 1, 2, 1, 0, NA, NA, 2396, 1623, 0, 1.803e+007, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 2396, 1623, 0, 1.813e+007, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 2396, 1623, 0, 1.954e+007, 1.089e+005
1, 1, 5, 1, 0, NA, NA, 2396, 1623, 0, 1.779e+007, 4.090e+002
1, 1, 6, 1, 0, NA, NA, 2396, 1623, 0, 1.926e+007, 6.300e+001
1, 1, 7, 1, 0, NA, NA, 2396, 1623, 0, 1.906e+007, 1.657e+004
1, 1, 8, 1, 0, NA, NA, 2396, 1623, 0, 1.816e+007, 1.588e+003
1, 1, 9, 1, 0, NA, NA, 2396, 1623, 0, 1.816e+007, 4.436e+003
1, 1, 10, 1, 0, NA, NA, 2396, 1623, 0, 4.660e+005, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 2396, 1623, 0, 5.847e+005, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 2396, 1623, 0, 6.128e+005, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 2396, 1623, 0, 5.372e+005, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 2396, 1623, 0, 4.032e+005, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 2396, 1623, 0, 1.324e+005, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 2396, 1623, 0, 1.677e+005, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 2396, 1623, 0, 2.472e+005, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 2396, 1623, 0, 3.147e+005, 3.269e+004
1, 1, 19, 1, 0, NA, NA, 2396, 1623, 0, 5.706e+007, 2.665e+006
1, 1, 20, 1, 0, NA, NA, 2396, 1623, 0, 5.848e+007, 3.743e+006
1, 1, 21, 1, 0, NA, NA, 2396, 1623, 0, 5.923e+007, 1.739e+006
1, 1, 22, 1, 0, NA, NA, 2396, 1623, 0, 5.822e+007, 8.177e+006
1, 1, 23, 1, 0, NA, NA, 2396, 1623, 0, 5.853e+007, 2.274e+006
1, 1, 24, 1, 0, NA, NA, 2396, 1623, 0, 6.012e+007, 2.701e+006
1, 1, 25, 1, 0, NA, NA, 2396, 1623, 0, 5.967e+007, 3.769e+006
1, 1, 26, 1, 0, NA, NA, 2396, 1623, 0, 6.081e+007, 3.323e+006
1, 1, 27, 1, 0, NA, NA, 2396, 1623, 0, 6.120e+007, 1.648e+006
1, 1, 28, 1, 0, NA, NA, 2396, 1623, 0, 7.642e+003, 3.206e+004
1, 1, 29, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 30, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 31, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 32, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 33, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 34, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 35, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 36, 1, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 1, 2, 0, NA, NA, 2396, 1623, 0, 1.251e+006, 0.000e+000
1, 1, 2, 2, 0, NA, NA, 2396, 1623, 0, 1.199e+006, 0.000e+000
1, 1, 3, 2, 0, NA, NA, 2396, 1623, 0, 1.163e+006, 1.504e+003
1, 1, 4, 2, 0, NA, NA, 2396, 1623, 0, 1.537e+006, 4.440e+002
1, 1, 5, 2, 0, NA, NA, 2396, 1623, 0, 1.458e+006, 0.000e+000
1, 1, 6, 2, 0, NA, NA, 2396, 1623, 0, 9.749e+005, 0.000e+000
1, 1, 7, 2, 0, NA, NA, 2396, 1623, 0, 1.331e+006, 0.000e+000
1, 1, 8, 2, 0, NA, NA, 2396, 1623, 0, 1.358e+006, 0.000e+000
1, 1, 9, 2, 0, NA, NA, 2396, 1623, 0, 1.363e+006, 0.000e+000
1, 1, 10, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 11, 2, 0, NA, NA, 2396, 1623, 0, 4.200e+001, 0.000e+000
1, 1, 12, 2, 0, NA, NA, 2396, 1623, 0, 1.460e+002, 2.700e+001
1, 1, 13, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 2.200e+002
1, 1, 14, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 15, 2, 0, NA, NA, 2396, 1623, 0, 2.700e+001, 0.000e+000
1, 1, 16, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 17, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 18, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 2.063e+004
1, 1, 19, 2, 0, NA, NA, 2396, 1623, 0, 2.045e+007, 1.333e+006
1, 1, 20, 2, 0, NA, NA, 2396, 1623, 0, 2.275e+007, 1.066e+006
1, 1, 21, 2, 0, NA, NA, 2396, 1623, 0, 2.336e+007, 1.000e+006
1, 1, 22, 2, 0, NA, NA, 2396, 1623, 0, 2.049e+007, 4.880e+006
1, 1, 23, 2, 0, NA, NA, 2396, 1623, 0, 2.224e+007, 2.069e+006
1, 1, 24, 2, 0, NA, NA, 2396, 1623, 0, 2.354e+007, 1.550e+006
1, 1, 25, 2, 0, NA, NA, 2396, 1623, 0, 1.948e+007, 4.609e+006
1, 1, 26, 2, 0, NA, NA, 2396, 1623, 0, 2.157e+007, 2.791e+006
1, 1, 27, 2, 0, NA, NA, 2396, 1623, 0, 2.051e+007, 1.326e+006
1, 1, 28, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 1.881e+004
1, 1, 29, 2, 0, NA, NA, 2396, 1623, 0, 4.087e+003, 0.000e+000
1, 1, 30, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
1, 1, 31, 2, 0, NA, NA, 2396, 1623, 0, 0.000e+000, 0.000e+000
