Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.000, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 1606, 0, 0, 1.928e+006, 0.000e+000
1, 1, 2, 1, 0, NA, NA, 1606, 0, 0, 1.649e+006, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 1606, 0, 0, 1.606e+006, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 1606, 0, 0, 1.273e+006, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 1606, 0, 0, 9.489e+005, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 1606, 0, 0, 1.072e+006, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 1606, 0, 0, 9.691e+005, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 1606, 0, 0, 9.098e+005, 0.000e+000
1, 1, 9, 1, 0, NA, NA, 1606, 0, 0, 1.032e+006, 0.000e+000
1, 1, 10, 1, 0, NA, NA, 1606, 0, 0, 1.642e+005, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 1606, 0, 0, 1.555e+005, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 1606, 0, 0, 1.159e+005, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 1606, 0, 0, 4.317e+004, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 1606, 0, 0, 2.156e+004, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 1606, 0, 0, 2.148e+004, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 1606, 0, 0, 3.246e+004, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 1606, 0, 0, 4.262e+004, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 1606, 0, 0, 4.531e+004, 0.000e+000
1, 1, 19, 1, 0, NA, NA, 1606, 0, 0, 1.159e+007, 0.000e+000
1, 1, 20, 1, 0, NA, NA, 1606, 0, 0, 1.148e+007, 0.000e+000
1, 1, 21, 1, 0, NA, NA, 1606, 0, 0, 1.113e+007, 0.000e+000
1, 1, 22, 1, 0, NA, NA, 1606, 0, 0, 1.145e+007, 0.000e+000
1, 1, 23, 1, 0, NA, NA, 1606, 0, 0, 1.278e+007, 0.000e+000
1, 1, 24, 1, 0, NA, NA, 1606, 0, 0, 1.267e+007, 0.000e+000
1, 1, 25, 1, 0, NA, NA, 1606, 0, 0, 1.191e+007, 0.000e+000
1, 1, 26, 1, 0, NA, NA, 1606, 0, 0, 1.203e+007, 0.000e+000
1, 1, 27, 1, 0, NA, NA, 1606, 0, 0, 1.167e+007, 0.000e+000
1, 1, 28, 1, 0, NA, NA, 1606, 0, 0, 1.846e+006, 0.000e+000
1, 1, 29, 1, 0, NA, NA, 1606, 0, 0, 2.074e+006, 0.000e+000
1, 1, 30, 1, 0, NA, NA, 1606, 0, 0, 3.266e+006, 0.000e+000
1, 1, 31, 1, 0, NA, NA, 1606, 0, 0, 4.637e+006, 0.000e+000
1, 1, 32, 1, 0, NA, NA, 1606, 0, 0, 4.438e+006, 0.000e+000
1, 1, 33, 1, 0, NA, NA, 1606, 0, 0, 4.515e+006, 0.000e+000
1, 1, 34, 1, 0, NA, NA, 1606, 0, 0, 5.003e+006, 0.000e+000
1, 1, 35, 1, 0, NA, NA, 1606, 0, 0, 5.577e+006, 0.000e+000
1, 1, 36, 1, 0, NA, NA, 1606, 0, 0, 5.494e+006, 0.000e+000
1, 1, 1, 2, 0, NA, NA, 1606, 0, 0, 1.713e+006, 0.000e+000
