Spot Integral Intensity File
Grid: 36 by 24, spot diameter 1.100, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 1910, 2559, 0, 2.862e+005, 0.000e+000
1, 1, 2, 1, 0, NA, NA, 1910, 2559, 0, 4.385e+005, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 1910, 2559, 0, 5.240e+005, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 1910, 2559, 0, 5.124e+005, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 1910, 2559, 0, 4.988e+005, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 1910, 2559, 0, 6.012e+005, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 1910, 2559, 0, 4.418e+005, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 1910, 2559, 0, 5.939e+005, 0.000e+000
1, 1, 9, 1, 0, NA, NA, 1910, 2559, 0, 5.034e+005, 9.610e+002
1, 1, 10, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 8.194e+003
1, 1, 12, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 3.680e+002
1, 1, 16, 1, 0, NA, NA, 1910, 2559, 0, 6.800e+001, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 1910, 2559, 0, 1.540e+002, 3.160e+002
1, 1, 18, 1, 0, NA, NA, 1910, 2559, 0, 4.514e+003, 3.629e+003
1, 1, 19, 1, 0, NA, NA, 1910, 2559, 0, 4.369e+003, 5.398e+003
1, 1, 20, 1, 0, NA, NA, 1910, 2559, 0, 3.542e+004, 2.414e+004
1, 1, 21, 1, 0, NA, NA, 1910, 2559, 0, 7.166e+004, 5.624e+004
1, 1, 22, 1, 0, NA, NA, 1910, 2559, 0, 7.625e+004, 7.930e+004
1, 1, 23, 1, 0, NA, NA, 1910, 2559, 0, 7.725e+004, 5.310e+004
1, 1, 24, 1, 0, NA, NA, 1910, 2559, 0, 3.894e+004, 3.602e+004
1, 1, 25, 1, 0, NA, NA, 1910, 2559, 0, 1.297e+004, 1.392e+004
1, 1, 26, 1, 0, NA, NA, 1910, 2559, 0, 7.785e+003, 2.691e+003
1, 1, 27, 1, 0, NA, NA, 1910, 2559, 0, 3.352e+003, 9.980e+002
1, 1, 28, 1, 0, NA, NA, 1910, 2559, 0, 3.518e+005, 4.100e+002
1, 1, 29, 1, 0, NA, NA, 1910, 2559, 0, 3.602e+005, 0.000e+000
1, 1, 30, 1, 0, NA, NA, 1910, 2559, 0, 4.291e+005, 0.000e+000
1, 1, 31, 1, 0, NA, NA, 1910, 2559, 0, 1.935e+005, 0.000e+000
1, 1, 32, 1, 0, NA, NA, 1910, 2559, 0, 1.999e+005, 2.030e+002
1, 1, 33, 1, 0, NA, NA, 1910, 2559, 0, 2.025e+005, 7.940e+002
1, 1, 34, 1, 0, NA, NA, 1910, 2559, 0, 1.623e+005, 2.300e+001
1, 1, 35, 1, 0, NA, NA, 1910, 2559, 0, 1.151e+005, 2.448e+003
1, 1, 36, 1, 0, NA, NA, 1910, 2559, 0, 1.475e+005, 0.000e+000
1, 1, 1, 2, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 2, 2, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 3, 2, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
1, 1, 4, 2, 0, NA, NA, 1910, 2559, 0, 2.258e+004, 0.000e+000
1, 1, 5, 2, 0, NA, NA, 1910, 2559, 0, 4.038e+004, 0.000e+000
1, 1, 6, 2, 0, NA, NA, 1910, 2559, 0, 5.224e+004, 0.000e+000
1, 1, 7, 2, 0, NA, NA, 1910, 2559, 0, 2.531e+004, 0.000e+000
1, 1, 8, 2, 0, NA, NA, 1910, 2559, 0, 3.396e+004, 0.000e+000
1, 1, 9, 2, 0, NA, NA, 1910, 2559, 0, 4.685e+004, 8.284e+003
1, 1, 10, 2, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 3.300e+001
1, 1, 11, 2, 0, NA, NA, 1910, 2559, 0, 0.000e+000, 0.000e+000
